point_id,mean,min,max,std,status,lc2022,total_peaks,geo
00000000000000000061,0.6795,0.2669,1.0409,0.1512,STABLE NON-CROP (Forest),4,17.0,"{""type"":""Point"",""coordinates"":[85.27334253130694,28.08605376332473]}"
00000000000000000062,0.6406,0.2285,0.9002,0.1561,DISCARDED (Crop or Disturbance),4,16.0,"{""type"":""Point"",""coordinates"":[82.03590139347362,28.632855489104585]}"
00000000000000000063,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[87.29940198145587,26.857963823993092]}"
00000000000000000064,,,,,DISCARDED (Insufficient Samples),9,,"{""type"":""Point"",""coordinates"":[83.54642187532842,28.59917143974685]}"
00000000000000000065,,,,,DISCARDED (Insufficient Samples),2,,"{""type"":""Point"",""coordinates"":[86.65342538914634,28.074464559686813]}"
00000000000000000066,0.7508,0.4883,0.9235,0.0928,STABLE NON-CROP (Rangeland),4,19.0,"{""type"":""Point"",""coordinates"":[86.82401275904695,27.462979114025682]}"
00000000000000000067,0.2003,0.0634,0.4411,0.0746,STABLE NON-CROP (Barren/Water),9,6.0,"{""type"":""Point"",""coordinates"":[83.13786565950855,29.282336934842135]}"
00000000000000000068,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[83.45128695435315,27.70498790549935]}"
00000000000000000069,0.7378,0.237,0.9343,0.1084,DISCARDED (Crop or Disturbance),4,16.0,"{""type"":""Point"",""coordinates"":[84.46297226046,27.891476429756565]}"
0000000000000000006a,0.3998,0.0585,0.8167,0.1642,DISCARDED (Crop or Disturbance),10,21.0,"{""type"":""Point"",""coordinates"":[84.82463211050079,28.23076942891326]}"
0000000000000000006b,0.6334,0.3965,0.8001,0.0775,STABLE NON-CROP (Rangeland),4,20.0,"{""type"":""Point"",""coordinates"":[82.04991634808461,28.90127107701675]}"
0000000000000000006c,0.7345,0.3728,0.9135,0.1304,STABLE NON-CROP (Rangeland),4,13.0,"{""type"":""Point"",""coordinates"":[81.1589701212019,29.109323813968434]}"
0000000000000000006d,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[84.45623455876824,27.372700154097615]}"
0000000000000000006e,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[85.57787237865097,27.244960286219552]}"
0000000000000000006f,0.4612,0.2689,0.8446,0.1325,STABLE NON-CROP (Forest),10,23.0,"{""type"":""Point"",""coordinates"":[82.65816448638095,28.79886336222332]}"
00000000000000000070,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[80.4652900658226,28.94223683839476]}"
00000000000000000071,0.6844,0.272,0.9537,0.1304,STABLE NON-CROP (Forest),4,17.0,"{""type"":""Point"",""coordinates"":[82.00545019237964,28.773263663075493]}"
00000000000000000072,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[86.85177066310466,27.403962911583328]}"
00000000000000000073,0.6533,0.3077,0.8857,0.1291,STABLE NON-CROP (Forest),4,20.0,"{""type"":""Point"",""coordinates"":[82.9419461365233,27.996042349459866]}"
00000000000000000074,0.2665,0.0435,0.5631,0.1017,DISCARDED (Crop or Disturbance),9,17.0,"{""type"":""Point"",""coordinates"":[83.10094430278602,29.540781972798804]}"
00000000000000000075,,,,,DISCARDED (Insufficient Samples),2,,"{""type"":""Point"",""coordinates"":[84.38858999578747,28.830126119709032]}"
00000000000000000076,0.6257,0.178,0.8709,0.1617,DISCARDED (Crop or Disturbance),4,13.0,"{""type"":""Point"",""coordinates"":[82.38058544580394,27.949150442781832]}"
00000000000000000077,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[87.87881757234064,27.175161977429966]}"
00000000000000000078,,,,,DISCARDED (Insufficient Samples),9,,"{""type"":""Point"",""coordinates"":[86.86309232067936,27.74514211048563]}"
00000000000000000079,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[87.15953335871244,27.567273028564728]}"
0000000000000000007a,0.7093,0.3853,0.9144,0.1212,STABLE NON-CROP (Rangeland),11,19.0,"{""type"":""Point"",""coordinates"":[87.39641864307569,27.698517749870796]}"
0000000000000000007b,0.7257,0.26,0.9677,0.1223,STABLE NON-CROP (Forest),4,18.0,"{""type"":""Point"",""coordinates"":[80.9220803777376,29.509791220477357]}"
0000000000000000007c,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[85.80909906377741,28.03161259856321]}"
0000000000000000007d,0.7859,0.577,0.9027,0.0764,STABLE NON-CROP (Rangeland),4,12.0,"{""type"":""Point"",""coordinates"":[86.81700751129199,27.382942709217385]}"
0000000000000000007e,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[83.51947106856139,28.198432028073675]}"
0000000000000000007f,0.6533,0.4177,0.8282,0.0956,STABLE NON-CROP (Rangeland),11,19.0,"{""type"":""Point"",""coordinates"":[86.28637002683088,27.81359377075708]}"
00000000000000000080,0.6041,0.3158,0.8873,0.141,STABLE NON-CROP (Forest),4,21.0,"{""type"":""Point"",""coordinates"":[81.45622271562672,28.95355403686841]}"
00000000000000000081,0.8011,0.3752,0.914,0.0777,STABLE NON-CROP (Rangeland),4,9.0,"{""type"":""Point"",""coordinates"":[82.68619439560291,28.426693410999565]}"
00000000000000000082,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[86.27721103326711,27.11586931072229]}"
00000000000000000083,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[84.35140109300174,27.534396076497668]}"
00000000000000000084,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[87.11048770622558,27.225826283599215]}"
00000000000000000085,0.5252,0.0971,0.869,0.1844,DISCARDED (Crop or Disturbance),10,19.0,"{""type"":""Point"",""coordinates"":[83.13759811344534,28.5175119221551]}"
00000000000000000086,,,,,DISCARDED (Insufficient Samples),10,,"{""type"":""Point"",""coordinates"":[80.7606564605018,28.771377463329877]}"
00000000000000000087,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[87.96963608349617,27.085418109628314]}"
00000000000000000088,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[85.74334070054225,27.112908467622805]}"
00000000000000000089,0.7682,0.5994,0.9008,0.0737,STABLE NON-CROP (Rangeland),4,10.0,"{""type"":""Point"",""coordinates"":[82.86998962282384,28.3135035898589]}"
0000000000000000008a,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[86.74208569539199,27.602308185541656]}"
0000000000000000008b,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[87.26005487376027,27.735978657820798]}"
0000000000000000008c,0.7132,0.2209,0.9322,0.1175,DISCARDED (Crop or Disturbance),4,16.0,"{""type"":""Point"",""coordinates"":[82.6452286342249,28.279007984109438]}"
0000000000000000008d,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[80.63911474308803,28.723946005424374]}"
0000000000000000008e,0.629,0.3083,0.865,0.146,STABLE NON-CROP (Forest),4,15.0,"{""type"":""Point"",""coordinates"":[80.36018459489183,28.864354179395274]}"
0000000000000000008f,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[86.7633779029222,27.592070089522938]}"
00000000000000000090,0.7546,0.4119,0.9119,0.0875,STABLE NON-CROP (Rangeland),11,15.0,"{""type"":""Point"",""coordinates"":[83.96736993297581,28.28197328630998]}"
