point_id,mean,min,max,std,status,total_non_crop,max_consecutive_non_crop,total_peaks,geo
2404,0.4667,0.1808,0.8643,0.1239,STABLE CROPLAND,1.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[83.88217509980907,27.920192336037207]}"
2405,0.3736,0.1375,0.7402,0.0997,DISCARDED (Failed Phenology),4.0,2.0,19.0,"{""type"":""Point"",""coordinates"":[82.81285250059338,27.889846106122995]}"
2406,,,,,DISCARDED (Insufficient Samples),,,,"{""type"":""Point"",""coordinates"":[84.37119723819217,27.927374749655186]}"
2407,0.5371,0.3067,0.8437,0.0773,DISCARDED (Static Vegetation / Low Amplitude),1.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[85.33680684882916,27.942685077260364]}"
2408,0.4874,0.2155,0.8968,0.1087,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[84.78490740700568,27.93307337924289]}"
2409,0.4154,0.1607,0.7237,0.0924,STABLE CROPLAND,3.0,2.0,23.0,"{""type"":""Point"",""coordinates"":[82.34916409981197,27.874136747904153]}"
2410,,,,,DISCARDED (Insufficient Samples),,,,"{""type"":""Point"",""coordinates"":[81.89329600610276,27.85719501218244]}"
2411,0.5213,0.226,0.8763,0.069,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[84.95331472289092,27.934600902101142]}"
2412,0.4401,0.1722,0.749,0.0717,DISCARDED (Failed Phenology),4.0,1.0,21.0,"{""type"":""Point"",""coordinates"":[82.50261560805276,27.874809128566216]}"
2413,0.4766,0.2344,0.8553,0.1157,STABLE CROPLAND,2.0,2.0,21.0,"{""type"":""Point"",""coordinates"":[85.11811936998382,27.934139389274794]}"
2414,0.406,0.1367,0.8116,0.1253,DISCARDED (Failed Phenology),3.0,3.0,20.0,"{""type"":""Point"",""coordinates"":[84.83902983700621,27.929409655598214]}"
2415,0.4337,0.1592,0.818,0.1153,STABLE CROPLAND,1.0,1.0,23.0,"{""type"":""Point"",""coordinates"":[82.95646659869777,27.887522818510845]}"
2416,0.4224,0.1311,0.7716,0.103,STABLE CROPLAND,3.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[82.79311701744518,27.881271057443534]}"
2417,,,,,DISCARDED (Insufficient Samples),,,,"{""type"":""Point"",""coordinates"":[84.9752083539349,27.935197934785695]}"
2418,0.3954,0.1907,0.7053,0.0995,DISCARDED (Static Vegetation / Low Amplitude),6.0,2.0,17.0,"{""type"":""Point"",""coordinates"":[83.03060862565322,27.889255940963185]}"
2419,0.3658,0.1221,0.8047,0.1264,DISCARDED (Failed Phenology),5.0,2.0,20.0,"{""type"":""Point"",""coordinates"":[82.38799626389027,27.869280135301306]}"
2420,,,,,DISCARDED (Insufficient Samples),,,,"{""type"":""Point"",""coordinates"":[84.09081518594706,27.915370969726396]}"
2421,0.4498,0.1428,0.8746,0.0944,DISCARDED (Failed Phenology),9.0,4.0,14.0,"{""type"":""Point"",""coordinates"":[85.77523389912668,27.939546579633333]}"
2422,0.481,0.2005,0.8725,0.1104,STABLE CROPLAND,1.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[84.40923305992392,27.919027047988187]}"
2423,0.4533,0.1791,0.7539,0.0527,STABLE CROPLAND,1.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[84.6850148827053,27.926305631154168]}"
2424,0.4516,0.1536,0.8752,0.0938,STABLE CROPLAND,1.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[85.19757487606181,27.93368845682212]}"
2425,0.4861,0.1427,0.8329,0.1029,STABLE CROPLAND,2.0,1.0,21.0,"{""type"":""Point"",""coordinates"":[85.14847572309651,27.930483419743382]}"
2426,0.3989,0.146,0.8311,0.0716,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[84.80718213299788,27.925909448642596]}"
2427,0.4192,0.1574,0.7753,0.1257,DISCARDED (Failed Phenology),6.0,2.0,19.0,"{""type"":""Point"",""coordinates"":[82.54558473379977,27.871030883002362]}"
2428,0.3977,0.1407,0.7764,0.1524,STABLE CROPLAND,2.0,2.0,21.0,"{""type"":""Point"",""coordinates"":[83.76314599436395,27.903081902972104]}"
2429,0.42,0.12,0.8119,0.0858,DISCARDED (Failed Phenology),4.0,1.0,26.0,"{""type"":""Point"",""coordinates"":[82.40982720058989,27.86244622646279]}"
2430,0.4326,-0.0206,0.862,0.0865,STABLE CROPLAND,1.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[84.54163770712191,27.916501615883472]}"
2431,,,,,DISCARDED (Insufficient Samples),,,,"{""type"":""Point"",""coordinates"":[84.0365301895899,27.90446956312953]}"
2432,0.4497,0.1832,0.816,0.1376,DISCARDED (Failed Phenology),7.0,1.0,18.0,"{""type"":""Point"",""coordinates"":[82.59142239989691,27.86822548797551]}"
2433,0.4921,0.2218,0.886,0.1346,DISCARDED (Failed Phenology),3.0,3.0,20.0,"{""type"":""Point"",""coordinates"":[83.97272806796877,27.904769559679306]}"
2434,0.4246,0.155,0.8192,0.1418,STABLE CROPLAND,3.0,1.0,21.0,"{""type"":""Point"",""coordinates"":[82.568744868812,27.864513492581278]}"
2435,,,,,DISCARDED (Insufficient Samples),,,,"{""type"":""Point"",""coordinates"":[84.1871093433417,27.906799763534984]}"
2436,,,,,DISCARDED (Insufficient Samples),,,,"{""type"":""Point"",""coordinates"":[84.88836325370761,27.918766346022014]}"
2437,0.4112,0.0979,0.8289,0.0827,DISCARDED (Failed Phenology),4.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[82.35487157241647,27.856241680626553]}"
2438,0.5022,0.2361,0.8803,0.1118,DISCARDED (Failed Phenology),4.0,2.0,19.0,"{""type"":""Point"",""coordinates"":[85.34581490743373,27.92226625679762]}"
2439,0.4968,0.272,0.8074,0.0962,DISCARDED (Static Vegetation / Low Amplitude),4.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[85.52852831254357,27.924156073347646]}"
2440,0.4727,0.1388,0.8584,0.0674,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[84.79081268824264,27.913258324477678]}"
2441,0.451,0.1165,0.8724,0.0763,DISCARDED (Failed Phenology),5.0,2.0,21.0,"{""type"":""Point"",""coordinates"":[82.43979389368482,27.8572873303336]}"
2442,0.4217,0.1565,0.8052,0.1005,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[83.55605978382695,27.88801170706379]}"
2443,,,,,DISCARDED (Insufficient Samples),,,,"{""type"":""Point"",""coordinates"":[84.361344552641,27.904556951558735]}"
2444,0.4995,0.1767,0.8656,0.0469,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[85.16695512007557,27.91710324643546]}"
2445,0.3977,0.1465,0.6962,0.0639,DISCARDED (Static Vegetation / Low Amplitude),5.0,2.0,19.0,"{""type"":""Point"",""coordinates"":[82.38419503420626,27.851525115978582]}"
2446,0.4241,0.1669,0.8018,0.0871,STABLE CROPLAND,1.0,1.0,28.0,"{""type"":""Point"",""coordinates"":[82.62049675463456,27.859280148123222]}"
2447,0.373,0.149,0.7608,0.1242,STABLE CROPLAND,1.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[83.82163034546,27.890838437641367]}"
