filename,geoReg,ALV,MoranI,ALV_norm,MoranI_norm,Global_Score
s-10_n-20_cn-4_cm-6.geojson,2,0.0013320119115645978,0.6221315963355336,0.8279254987803962,0.27037866934890314,1.0983041681292993
s-5_n-10_cn-8_cm-3.geojson,2,0.0007978908219160189,0.6996128928002776,0.3601754832973513,0.7404347518842342,1.1006102351815854
s-7_n-14_cn-8_cm-4.geojson,2,0.0010427942739885336,0.6646466480835098,0.5746466878965548,0.5283048991008024,1.1029515869973572
s-3_n-6_cn-4_cm-3.geojson,2,0.0005276828659242616,0.7394483840639878,0.12354416869799027,0.9821048816272279,1.105649050325218
s-11_n-22_cn-8_cm-7.geojson,2,0.001415862627688021,0.6114305166257701,0.9013567384844883,0.20545838746437645,1.1068151259488648
s-12_n-24_cn-8_cm-7.geojson,2,0.0014469556200030836,0.6071873261661943,0.9285860464422655,0.17971620740435326,1.1083022538466187
s-7_n-14_cn-4_cm-4.geojson,2,0.0010467575584022484,0.6650556380550795,0.5781174857770477,0.5307861201516112,1.108903605928659
s-4_n-8_cn-8_cm-3.geojson,2,0.0006628314687400719,0.7209094414059182,0.2418989056382589,0.869634606118033,1.111533511756292
s-5_n-10_cn-4_cm-3.geojson,2,0.0008025189143823592,0.7011551555315128,0.364228478703715,0.7497912031926414,1.1140196818963564
s-8_n-16_cn-8_cm-5.geojson,2,0.0011778125193950282,0.6479051668061202,0.692887265929026,0.42673928953889795,1.119626555467924
s-11_n-22_cn-4_cm-7.geojson,2,0.0014170387764296465,0.6135038927482972,0.9023867363684279,0.21803694644887744,1.1204236828173053
s-8_n-16_cn-4_cm-5.geojson,2,0.001182280877055801,0.6477978694657278,0.6968003755319168,0.42608834834673226,1.1228887238786491
s-3_n-6_cn-8_cm-4.geojson,2,0.0005412832650476377,0.7406336398117044,0.1354545519871436,0.9892954772805626,1.1247500292677062
s-3_n-6_cn-4_cm-4.geojson,2,0.0005537909577770238,0.7407380153012192,0.14640801100834938,0.9899286924686481,1.1363367034769976
s-4_n-8_cn-4_cm-3.geojson,2,0.0006827080909258455,0.7234773912885258,0.25930561455751033,0.8852135976558795,1.1445192122133898
s-3_n-6_cn-8_cm-5.geojson,2,0.0005552571587753466,0.7420943832559062,0.1476920186106666,0.9981573752133506,1.145849393824017
